store_name,comment_count,address,phone,website,link
Eggspectation,772,"483 Bay St Bell Trinity Square South Tower, Toronto, Ontario M5G 2C9 Canada",+1 416-979-3447,Q2NSX2h0dHA6Ly93d3cuZWdnc3BlY3RhdGlvbi5jYS9fY1NM,https://www.tripadvisor.com//Restaurant_Review-g155019-d1057947-Reviews-Eggspectation-Toronto_Ontario.html
Casa Madera,450,"550 Wellington St W, Toronto, Ontario M5V 2V5 Canada",+1 416-604-3593,SExJX2h0dHA6Ly93d3cudGhlY2FzYW1hZGVyYS5jb20vX3h5dA==,https://www.tripadvisor.com//Restaurant_Review-g155019-d23978218-Reviews-Casa_Madera-Toronto_Ontario.html
Harriet's Rooftop,106,"550 Wellington St W Wellington St. West and Bathurst St., Toronto, Ontario M5V 2V4 Canada",+1 4166013599,Sjl5X2h0dHA6Ly93d3cuMWhvdGVscy5jb20vdG9yb250by90YXN0ZS9oYXJyaWV0cy1yb29mdG9wX21ZOQ==,https://www.tripadvisor.com//Restaurant_Review-g155019-d23627825-Reviews-Harriet_s_Rooftop-Toronto_Ontario.html
1 Kitchen Toronto,123,"550 Wellington St W, Toronto, Ontario M5V 2V4 Canada",+1 416-601-3533,https://www.1hotels.com/toronto/taste/1-kitchen,https://www.tripadvisor.com//Restaurant_Review-g155019-d23290154-Reviews-1_Kitchen_Toronto-Toronto_Ontario.html
New Orleans Seafood & Steakhouse,343,"267 Scarlett Rd York, Toronto, Ontario M6N 4L1 Canada",+1 416-766-7001,http://cajuntoronto.com,https://www.tripadvisor.com//Restaurant_Review-g155019-d1867454-Reviews-New_Orleans_Seafood_Steakhouse-Toronto_Ontario.html
ALO RESTAURANT,586,"163 Spadina Ave 3rd Floor, Toronto, Ontario M5V 2L6 Canada",+1 416-260-2222,http://alorestaurant.com/,https://www.tripadvisor.com//Restaurant_Review-g155019-d8443957-Reviews-ALO_RESTAURANT-Toronto_Ontario.html
Valerie Toronto,6,"111 Princes Blvd 28th Floor, Toronto, Ontario M6K 3C3 Canada",+1 647-475-9286,https://valerietoronto.ca,https://www.tripadvisor.com//Restaurant_Review-g155019-d25044379-Reviews-Valerie_Toronto-Toronto_Ontario.html
Black + Blue,69,"130 King St W, Financial District, Toronto, Ontario M5X 2A2 Canada",6473688283,cThxX2h0dHA6Ly93d3cuYmxhY2thbmRibHVlLmNhL182eE4=,https://www.tripadvisor.com//Restaurant_Review-g155019-d25428817-Reviews-Black_Blue-Toronto_Ontario.html
Casa Madera,450,"550 Wellington St W, Toronto, Ontario M5V 2V5 Canada",+1 416-604-3593,ODgzX2h0dHA6Ly93d3cudGhlY2FzYW1hZGVyYS5jb20vX0k5YQ==,https://www.tripadvisor.com//Restaurant_Review-g155019-d23978218-Reviews-Casa_Madera-Toronto_Ontario.html
Harriet's Rooftop,106,"550 Wellington St W Wellington St. West and Bathurst St., Toronto, Ontario M5V 2V4 Canada",+1 4166013599,STRMX2h0dHA6Ly93d3cuMWhvdGVscy5jb20vdG9yb250by90YXN0ZS9oYXJyaWV0cy1yb29mdG9wX0lrdA==,https://www.tripadvisor.com//Restaurant_Review-g155019-d23627825-Reviews-Harriet_s_Rooftop-Toronto_Ontario.html
